STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT11,WT14,WT16
USC00047916,"SANTA CRUZ, CA US",8/25/89,0,65,50,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/26/89,0,67,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/27/89,0,68,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/28/89,0,71,53,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/29/89,0,73,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/30/89,0,75,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",8/31/89,0,72,51,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/1/89,0,70,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/2/89,0,73,45,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/3/89,0,69,52,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/4/89,0,68,52,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/5/89,0,70,53,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/6/89,0,64,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/7/89,0,70,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/8/89,0,69,54,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/9/89,0,72,54,69,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/10/89,0,71,48,68,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/11/89,0,72,50,69,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/12/89,0,72,55,68,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/13/89,0,69,49,63,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/14/89,0,71,50,68,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/15/89,0,77,53,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/16/89,0.42,63,57,59,,1,,,,,
USC00047916,"SANTA CRUZ, CA US",9/17/89,0.27,62,56,60,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/18/89,0.13,68,54,62,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/19/89,0,69,45,66,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/20/89,0,70,55,68,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/21/89,0,85,49,82,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/22/89,0,86,51,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/23/89,0,64,55,62,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/24/89,0,76,56,70,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/25/89,0,76,49,69,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/26/89,0,69,50,67,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/27/89,0,74,49,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/28/89,0,65,56,61,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/29/89,0.05,70,55,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",9/30/89,0,76,50,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",10/1/89,0,78,48,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",10/2/89,0,63,55,58,,,,,,,
USC00047916,"SANTA CRUZ, CA US",10/3/89,0,70,45,68,,,,,,,
USC00047916,"SANTA CRUZ, CA US",10/4/89,0,72,45,72,,,,,,,
USC00047916,"SANTA CRUZ, CA US",10/5/89,0,72,46,,,,,,,,
USC00047916,"SANTA CRUZ, CA US",10/6/89,0,68,47,68,,,,,,,
USC00047916,"SANTA CRUZ, CA US",10/7/89,0,76,45,76,,,,,,,
